Text,Timestamp
"Störningar i tågtrafikenSenast ändrad idag kl 06:59HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Hässleholm och Växjö/Kalmar. Inga tåg kan i nuläget köra på sträckan. Vi återkommer när mer information finns tillgänglig.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.ALTERNATIVA RESVÄGARErsättningsbussar beställs för inställda avgångar. Mycket svårt att få fram ersättningsbussar. För information om specifika avgångar,sök din resa.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 05:07:22.129613
No warning,2023-06-19 06:11:25.975218
"Störningar i tågtrafikenSenast ändrad idag kl 08:38HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Hässleholm och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är klockan 18:00.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 07:07:42.714535
"Störningar i tågtrafikenSenast ändrad idag kl 09:16HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är klockan 18:00.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 08:10:15.365047
"Störningar i tågtrafikenSenast ändrad idag kl 10:55LUND– MALMÖ– HYLLIEVi kör igen efter stopp i tågtrafiken genom Malmö C. Räkna med förseningar och inställda tåg ett tag framöver.Orsaken var obehöriga i spår.För information om specifika avgångar,sök din resa.HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är under morgondagen.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 09:07:54.939524
"Störningar i tågtrafikenSenast ändrad idag kl 12:07HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är under morgondagen.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.Öresundståg mellan Hässleholm - Älmhult - Hässleholm kommer stanna extra i Ballingslöv samt Hästveda.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 10:08:03.544211
"Störningar i tågtrafikenSenast ändrad idag kl 13:01HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är imorgon klockan 11:00 den 20/6.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.Öresundståg mellan Hässleholm - Älmhult - Hässleholm kommer stanna extra i Ballingslöv samt Hästveda.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 11:06:12.535145
"Störningar i tågtrafikenSenast ändrad idag kl 14:11HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är imorgon klockan 11:00 den 20/6.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.Följande Krösatåg kommer trafikera sträckan Alvesta - Hässleholm - Alvesta.Tåg 17562 Från Hässleholm klockan 15:06.Tåg 17523 Från Alvesta klockan 16:57.Tåg 17570 Från Hässleholm klockan 18:23.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.Öresundståg mellan Hässleholm - Älmhult - Hässleholm kommer stanna extra i Ballingslöv samt Hästveda.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 12:15:02.848568
"Störningar i tågtrafikenSenast ändrad idag kl 14:20HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är imorgon klockan 11:00 den 20/6.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.Följande Krösatåg kommer trafikera sträckan Alvesta - Hässleholm - Alvesta.Tåg 17562 Från Hässleholm klockan 15:06.Tåg 17523 Från Alvesta klockan 16:57.Tåg 17570 Från Hässleholm klockan 18:23.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.Öresundståg mellan Hässleholm - Älmhult - Hässleholm kommer stanna extra i Ballingslöv samt Hästveda.Resande till Kalmar har möjligheten att resa med Öresundståg till Karlskrona, sedan med Krösatåg från Karlskrona till Emmaboda/Kalmar.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 13:11:41.531112
"Störningar i tågtrafikenSenast ändrad idag kl 14:20HÄSSLEHOLM - VÄXJÖ/KALMARDet är stopp i tågtrafiken mellan Älmhult och Växjö/Kalmar för Öresundståg samt Krösatåg. Prognos för när vi kan köra igen är imorgon klockan 11:00 den 20/6.Orsaken är ett underhållsarbete som inte blev färdigt i tid.För information om specifika avgångar,sök din resa.Öresundståg kommer trafikera till Älmhult. Öresundståg inställda Kalmar - Älmhult - Kalmar.Krösatåg trafikerar mellan Kalmar - Emmaboda - Kalmar. Krösatåg inställda Växjö - Hässleholm - Växjö.Följande Krösatåg kommer trafikera sträckan Alvesta - Hässleholm - Alvesta.Tåg 17562 Från Hässleholm klockan 15:06.Tåg 17523 Från Alvesta klockan 16:57.Tåg 17570 Från Hässleholm klockan 18:23.ALTERNATIVA RESVÄGARBiljettsamverkan gäller på sträckan Hässleholm och Alvesta: Det innebär att resenärer för Öresundståg/Krösatåg kan åka med Sj snabbtåg mellan Hässleholm - Alvesta och omvänt i mån av plats. Tänk på att Sj snabbtåg ej stannar på några mellanstationer mellan Alvesta och Hässleholm.Ersättningsbussar beställs för inställda avgångar för Öresundståg och Krösatåg på nedanstående sträckor. Mycket svårt att få fram ersättningsbussar i den omfattning som krävs. För information om specifika avgångar och vilka avgångar som har buss bekräftad,sök din resa.Hässleholm – Alvesta - Kalmar för Öresundståg och Krösatåg.Öresundståg mellan Hässleholm - Älmhult - Hässleholm kommer stanna extra i Ballingslöv samt Hästveda.Resande till Kalmar har möjligheten att resa med Öresundståg till Karlskrona, sedan med Krösatåg från Karlskrona till Emmaboda/Kalmar.För ersättningsbussarnas hållplatslägen, seStations- och hållplatskartor.Visa merVisa mindre",2023-06-19 14:07:09.539448
